,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
BEDROOMS,        4 bedrooms,"405,711","±11,330",17.50%,±0.5,"51,626","±2,891",15.70%,±0.9,"589,424","±11,858",18.80%,±0.4,"200,617","±7,153",14.50%,±0.5,"2,538,932","±24,356",17.50%,±0.2,"526,442","±10,550",20.70%,±0.4,"268,599","±8,156",17.50%,±0.5,"104,239","±5,227",22.80%,±1.1,"27,636","±2,559",7.70%,±0.7,"1,474,849","±22,218",14.70%,±0.2,"916,760","±16,006",20.50%,±0.4,"91,270","±4,936",16.20%,±0.9,"147,808","±6,624",19.10%,±0.9,"939,411","±13,707",17.30%,±0.3,"487,690","±12,491",16.50%,±0.4,"259,740","±7,533",18.20%,±0.5,"248,951","±6,966",19.40%,±0.5,"316,735","±9,577",15.80%,±0.5,"339,255","±10,081",16.20%,±0.5,"105,360","±4,387",14.10%,±0.6,"569,417","±10,550",22.40%,±0.4,"502,372","±10,177",16.60%,±0.3,"786,562","±13,086",17.10%,±0.3,"549,083","±9,380",21.80%,±0.4,"212,703","±7,657",16.00%,±0.6,"461,631","±9,397",16.40%,±0.3,"90,371","±4,561",17.30%,±0.9,"159,577","±4,768",18.70%,±0.6,"250,536","±6,968",19.20%,±0.5,"105,835","±5,020",16.40%,±0.8,"758,826","±12,979",20.10%,±0.3,"147,997","±6,037",15.60%,±0.6,"1,180,235","±16,138",13.80%,±0.2,"787,599","±14,125",16.40%,±0.3,"69,919","±3,818",18.70%,±1.0,"949,546","±13,580",18.00%,±0.3,"273,148","±6,114",15.50%,±0.3,"279,533","±7,702",15.20%,±0.4,"1,033,121","±15,342",17.90%,±0.3,"60,383","±4,705",12.50%,±1.0,"421,085","±12,352",17.60%,±0.5,"80,467","±3,798",20.10%,±1.0,"502,437","±11,416",16.30%,±0.4,"2,310,149","±29,968",19.50%,±0.3,"264,871","±7,042",22.30%,±0.6,"52,408","±3,223",15.60%,±1.0,"783,391","±12,637",21.40%,±0.3,"600,168","±10,933",18.40%,±0.3,"121,525","±5,427",14.20%,±0.6,"440,353","±9,035",16.00%,±0.3,"48,427","±3,202",17.70%,±1.2,"203,373","±8,079",13.30%,±0.5
BEDROOMS,        5 or more bedrooms,"91,986","±5,260",4.00%,±0.2,"13,192","±1,697",4.00%,±0.5,"143,621","±6,701",4.60%,±0.2,"34,132","±3,031",2.50%,±0.2,"662,743","±13,886",4.60%,±0.1,"216,835","±7,480",8.50%,±0.3,"70,143","±4,621",4.60%,±0.3,"25,365","±2,443",5.50%,±0.5,"12,880","±1,519",3.60%,±0.4,"297,821","±11,809",3.00%,±0.1,"375,472","±11,708",8.40%,±0.3,"33,341","±2,811",5.90%,±0.5,"68,812","±4,379",8.90%,±0.6,"258,159","±8,384",4.70%,±0.2,"132,919","±6,188",4.50%,±0.2,"88,153","±4,901",6.20%,±0.3,"94,082","±3,870",7.30%,±0.3,"82,194","±4,923",4.10%,±0.2,"53,626","±4,569",2.60%,±0.2,"28,510","±2,757",3.80%,±0.4,"210,365","±6,694",8.30%,±0.3,"140,312","±5,676",4.60%,±0.2,"189,072","±6,687",4.10%,±0.1,"185,145","±6,370",7.40%,±0.3,"41,578","±3,659",3.10%,±0.3,"132,088","±5,286",4.70%,±0.2,"38,735","±3,430",7.40%,±0.7,"59,819","±3,224",7.00%,±0.4,"66,253","±3,724",5.10%,±0.3,"23,914","±2,788",3.70%,±0.4,"232,160","±7,918",6.10%,±0.2,"23,927","±2,546",2.50%,±0.3,"368,302","±10,600",4.30%,±0.1,"207,944","±7,979",4.30%,±0.2,"30,147","±2,921",8.10%,±0.8,"201,492","±7,159",3.80%,±0.1,"41,847","±2,770",2.40%,±0.2,"67,140","±3,884",3.70%,±0.2,"262,306","±8,465",4.50%,±0.1,"17,008","±2,277",3.50%,±0.5,"102,479","±6,064",4.30%,±0.3,"36,602","±2,715",9.10%,±0.7,"131,489","±5,863",4.30%,±0.2,"458,864","±13,392",3.90%,±0.1,"249,175","±6,906",20.90%,±0.6,"13,354","±1,502",4.00%,±0.4,"274,243","±9,468",7.50%,±0.3,"167,004","±6,838",5.10%,±0.2,"32,242","±3,170",3.80%,±0.4,"109,976","±3,950",4.00%,±0.1,"23,612","±2,550",8.60%,±0.9,"24,434","±2,464",1.60%,±0.2
HOUSING TENURE,    Occupied housing units,"1,967,559","±10,527","1,967,559",(X),"271,311","±3,313","271,311",(X),"2,817,723","±10,850","2,817,723",(X),"1,183,675","±7,882","1,183,675",(X),"13,429,063","±19,170","13,429,063",(X),"2,313,042","±8,099","2,313,042",(X),"1,428,313","±5,900","1,428,313",(X),"395,656","±4,126","395,656",(X),"319,565","±3,541","319,565",(X),"8,565,329","±25,039","8,565,329",(X),"4,001,109","±12,817","4,001,109",(X),"490,080","±5,054","490,080",(X),"693,882","±4,348","693,882",(X),"4,991,641","±12,428","4,991,641",(X),"2,680,694","±9,238","2,680,694",(X),"1,300,467","±6,514","1,300,467",(X),"1,159,026","±5,714","1,159,026",(X),"1,785,682","±8,799","1,785,682",(X),"1,783,924","±7,696","1,783,924",(X),"593,626","±5,251","593,626",(X),"2,355,652","±6,143","2,355,652",(X),"2,759,018","±9,086","2,759,018",(X),"4,051,798","±10,574","4,051,798",(X),"2,281,033","±6,734","2,281,033",(X),"1,129,611","±8,212","1,129,611",(X),"2,468,726","±10,224","2,468,726",(X),"448,949","±4,159","448,949",(X),"785,982","±4,212","785,982",(X),"1,191,380","±6,445","1,191,380",(X),"548,026","±4,691","548,026",(X),"3,497,945","±8,126","3,497,945",(X),"834,007","±4,770","834,007",(X),"7,652,666","±17,305","7,652,666",(X),"4,179,632","±15,192","4,179,632",(X),"322,511","±3,883","322,511",(X),"4,832,922","±10,937","4,832,922",(X),"1,547,967","±6,458","1,547,967",(X),"1,702,599","±8,524","1,702,599",(X),"5,228,956","±12,804","5,228,956",(X),"440,170","±4,169","440,170",(X),"2,049,972","±10,471","2,049,972",(X),"356,887","±3,371","356,887",(X),"2,770,395","±8,851","2,770,395",(X),"10,796,247","±19,104","10,796,247",(X),"1,101,499","±5,112","1,101,499",(X),"270,163","±3,018","270,163",(X),"3,331,461","±10,153","3,331,461",(X),"3,022,255","±9,423","3,022,255",(X),"722,201","±5,460","722,201",(X),"2,449,970","±6,685","2,449,970",(X),"242,763","±2,909","242,763",(X),"1,165,982","±9,161","1,165,982",(X)
HOUSING TENURE,        Owner-occupied,"1,377,932","±12,342",70.00%,±0.5,"181,145","±3,790",66.80%,±1.3,"1,905,690","±14,256",67.60%,±0.5,"793,038","±9,392",67.00%,±0.6,"7,502,706","±28,590",55.90%,±0.2,"1,546,233","±12,044",66.80%,±0.5,"951,516","±9,355",66.60%,±0.7,"287,111","±5,513",72.60%,±1.2,"132,936","±4,071",41.60%,±1.2,"5,772,329","±30,900",67.40%,±0.3,"2,642,126","±20,935",66.00%,±0.5,"306,653","±6,699",62.60%,±1.2,"498,872","±7,387",71.90%,±1.0,"3,370,654","±19,529",67.50%,±0.4,"1,905,849","±13,015",71.10%,±0.4,"935,111","±9,676",71.90%,±0.6,"776,740","±8,683",67.00%,±0.6,"1,225,996","±12,463",68.70%,±0.6,"1,200,910","±11,783",67.30%,±0.6,"444,231","±5,856",74.80%,±0.8,"1,597,663","±11,011",67.80%,±0.5,"1,742,436","±12,565",63.20%,±0.4,"2,966,347","±14,453",73.20%,±0.3,"1,665,101","±11,511",73.00%,±0.5,"787,068","±9,871",69.70%,±0.7,"1,698,595","±14,258",68.80%,±0.5,"311,861","±5,221",69.50%,±1.0,"532,582","±5,988",67.80%,±0.6,"704,548","±8,320",59.10%,±0.7,"397,225","±5,983",72.50%,±1.0,"2,252,974","±15,472",64.40%,±0.4,"579,708","±8,803",69.50%,±1.0,"4,239,037","±23,273",55.40%,±0.3,"2,794,211","±16,553",66.90%,±0.4,"203,549","±5,171",63.10%,±1.5,"3,246,486","±19,196",67.20%,±0.4,"1,013,837","±7,604",65.50%,±0.5,"1,086,030","±10,492",63.80%,±0.6,"3,657,478","±16,907",69.90%,±0.3,"278,449","±6,180",63.30%,±1.2,"1,471,296","±13,675",71.80%,±0.6,"247,630","±4,277",69.40%,±1.0,"1,869,046","±15,265",67.50%,±0.5,"6,761,002","±34,434",62.60%,±0.3,"768,062","±8,177",69.70%,±0.7,"196,291","±3,522",72.70%,±1.1,"2,252,170","±16,884",67.60%,±0.4,"1,933,901","±14,745",64.00%,±0.5,"542,805","±6,932",75.20%,±0.8,"1,668,575","±11,831",68.10%,±0.5,"173,247","±4,358",71.40%,±1.5,"800,555","±10,264",68.70%,±0.7
HOUSING TENURE,        Renter-occupied,"589,627","±11,032",30.00%,±0.5,"90,166","±3,901",33.20%,±1.3,"912,033","±14,327",32.40%,±0.5,"390,637","±7,678",33.00%,±0.6,"5,926,357","±26,707",44.10%,±0.2,"766,809","±10,883",33.20%,±0.5,"476,797","±9,909",33.40%,±0.7,"108,545","±5,060",27.40%,±1.2,"186,629","±4,176",58.40%,±1.2,"2,793,000","±27,337",32.60%,±0.3,"1,358,983","±19,558",34.00%,±0.5,"183,427","±6,477",37.40%,±1.2,"195,010","±6,802",28.10%,±1.0,"1,620,987","±19,271",32.50%,±0.4,"774,845","±12,019",28.90%,±0.4,"365,356","±7,963",28.10%,±0.6,"382,286","±7,535",33.00%,±0.6,"559,686","±10,315",31.30%,±0.6,"583,014","±11,725",32.70%,±0.6,"149,395","±5,206",25.20%,±0.8,"757,989","±11,113",32.20%,±0.5,"1,016,582","±11,698",36.80%,±0.4,"1,085,451","±13,506",26.80%,±0.3,"615,932","±10,686",27.00%,±0.5,"342,543","±8,388",30.30%,±0.7,"770,131","±13,815",31.20%,±0.5,"137,088","±4,642",30.50%,±1.0,"253,400","±5,113",32.20%,±0.6,"486,832","±9,282",40.90%,±0.7,"150,801","±5,702",27.50%,±1.0,"1,244,971","±14,211",35.60%,±0.4,"254,299","±8,808",30.50%,±1.0,"3,413,629","±24,555",44.60%,±0.3,"1,385,421","±16,214",33.10%,±0.4,"118,962","±5,060",36.90%,±1.5,"1,586,436","±17,987",32.80%,±0.4,"534,130","±8,074",34.50%,±0.5,"616,569","±10,078",36.20%,±0.6,"1,571,478","±16,774",30.10%,±0.3,"161,721","±5,443",36.70%,±1.2,"578,676","±11,940",28.20%,±0.6,"109,257","±3,804",30.60%,±1.0,"901,349","±15,149",32.50%,±0.5,"4,035,245","±32,249",37.40%,±0.3,"333,437","±7,466",30.30%,±0.7,"73,872","±3,285",27.30%,±1.1,"1,079,291","±14,934",32.40%,±0.4,"1,088,354","±14,791",36.00%,±0.5,"179,396","±5,876",24.80%,±0.8,"781,395","±12,020",31.90%,±0.5,"69,516","±3,680",28.60%,±1.5,"365,427","±8,509",31.30%,±0.7
HOUSING TENURE,        Average household size of owner-occupied unit,2.59,±0.02,(X),(X),2.75,±0.05,(X),(X),2.59,±0.02,(X),(X),2.55,±0.02,(X),(X),2.96,±0.01,(X),(X),2.6,±0.01,(X),(X),2.59,±0.02,(X),(X),2.54,±0.04,(X),(X),2.23,±0.06,(X),(X),2.53,±0.01,(X),(X),2.74,±0.02,(X),(X),2.96,±0.05,(X),(X),2.8,±0.03,(X),(X),2.62,±0.01,(X),(X),2.59,±0.02,(X),(X),2.53,±0.02,(X),(X),2.61,±0.02,(X),(X),2.56,±0.02,(X),(X),2.58,±0.02,(X),(X),2.38,±0.03,(X),(X),2.67,±0.01,(X),(X),2.62,±0.01,(X),(X),2.54,±0.01,(X),(X),2.59,±0.01,(X),(X),2.57,±0.03,(X),(X),2.57,±0.01,(X),(X),2.52,±0.03,(X),(X),2.6,±0.02,(X),(X),2.69,±0.03,(X),(X),2.62,±0.03,(X),(X),2.73,±0.01,(X),(X),2.59,±0.03,(X),(X),2.68,±0.01,(X),(X),2.55,±0.01,(X),(X),2.54,±0.04,(X),(X),2.5,±0.01,(X),(X),2.6,±0.02,(X),(X),2.57,±0.02,(X),(X),2.53,±0.01,(X),(X),2.56,±0.04,(X),(X),2.53,±0.02,(X),(X),2.56,±0.03,(X),(X),2.54,±0.01,(X),(X),2.86,±0.01,(X),(X),3.2,±0.02,(X),(X),2.42,±0.03,(X),(X),2.64,±0.01,(X),(X),2.66,±0.01,(X),(X),2.5,±0.03,(X),(X),2.49,±0.01,(X),(X),2.45,±0.05,(X),(X),2.83,±0.03,(X),(X)
HOUSING TENURE,        Average household size of renter-occupied unit,2.3,±0.03,(X),(X),2.32,±0.08,(X),(X),2.41,±0.03,(X),(X),2.37,±0.05,(X),(X),2.73,±0.01,(X),(X),2.19,±0.03,(X),(X),2.17,±0.03,(X),(X),2.29,±0.08,(X),(X),1.81,±0.04,(X),(X),2.43,±0.02,(X),(X),2.43,±0.02,(X),(X),2.67,±0.07,(X),(X),2.44,±0.06,(X),(X),2.18,±0.02,(X),(X),2.17,±0.02,(X),(X),2.02,±0.03,(X),(X),2.18,±0.04,(X),(X),2.23,±0.03,(X),(X),2.4,±0.04,(X),(X),1.88,±0.04,(X),(X),2.32,±0.03,(X),(X),2.14,±0.02,(X),(X),2.13,±0.02,(X),(X),2.05,±0.03,(X),(X),2.45,±0.06,(X),(X),2.14,±0.03,(X),(X),2.13,±0.06,(X),(X),2.1,±0.04,(X),(X),2.49,±0.04,(X),(X),2.06,±0.04,(X),(X),2.36,±0.02,(X),(X),2.25,±0.05,(X),(X),2.31,±0.01,(X),(X),2.28,±0.02,(X),(X),1.97,±0.06,(X),(X),2.12,±0.02,(X),(X),2.35,±0.03,(X),(X),2.21,±0.03,(X),(X),2.1,±0.02,(X),(X),2.11,±0.06,(X),(X),2.33,±0.04,(X),(X),2.11,±0.05,(X),(X),2.31,±0.02,(X),(X),2.38,±0.02,(X),(X),2.51,±0.04,(X),(X),1.96,±0.06,(X),(X),2.28,±0.02,(X),(X),2.25,±0.02,(X),(X),2.14,±0.05,(X),(X),2.04,±0.02,(X),(X),2.02,±0.07,(X),(X),2.64,±0.04,(X),(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,    Occupied housing units,"1,967,559","±10,527","1,967,559",(X),"271,311","±3,313","271,311",(X),"2,817,723","±10,850","2,817,723",(X),"1,183,675","±7,882","1,183,675",(X),"13,429,063","±19,170","13,429,063",(X),"2,313,042","±8,099","2,313,042",(X),"1,428,313","±5,900","1,428,313",(X),"395,656","±4,126","395,656",(X),"319,565","±3,541","319,565",(X),"8,565,329","±25,039","8,565,329",(X),"4,001,109","±12,817","4,001,109",(X),"490,080","±5,054","490,080",(X),"693,882","±4,348","693,882",(X),"4,991,641","±12,428","4,991,641",(X),"2,680,694","±9,238","2,680,694",(X),"1,300,467","±6,514","1,300,467",(X),"1,159,026","±5,714","1,159,026",(X),"1,785,682","±8,799","1,785,682",(X),"1,783,924","±7,696","1,783,924",(X),"593,626","±5,251","593,626",(X),"2,355,652","±6,143","2,355,652",(X),"2,759,018","±9,086","2,759,018",(X),"4,051,798","±10,574","4,051,798",(X),"2,281,033","±6,734","2,281,033",(X),"1,129,611","±8,212","1,129,611",(X),"2,468,726","±10,224","2,468,726",(X),"448,949","±4,159","448,949",(X),"785,982","±4,212","785,982",(X),"1,191,380","±6,445","1,191,380",(X),"548,026","±4,691","548,026",(X),"3,497,945","±8,126","3,497,945",(X),"834,007","±4,770","834,007",(X),"7,652,666","±17,305","7,652,666",(X),"4,179,632","±15,192","4,179,632",(X),"322,511","±3,883","322,511",(X),"4,832,922","±10,937","4,832,922",(X),"1,547,967","±6,458","1,547,967",(X),"1,702,599","±8,524","1,702,599",(X),"5,228,956","±12,804","5,228,956",(X),"440,170","±4,169","440,170",(X),"2,049,972","±10,471","2,049,972",(X),"356,887","±3,371","356,887",(X),"2,770,395","±8,851","2,770,395",(X),"10,796,247","±19,104","10,796,247",(X),"1,101,499","±5,112","1,101,499",(X),"270,163","±3,018","270,163",(X),"3,331,461","±10,153","3,331,461",(X),"3,022,255","±9,423","3,022,255",(X),"722,201","±5,460","722,201",(X),"2,449,970","±6,685","2,449,970",(X),"242,763","±2,909","242,763",(X),"1,165,982","±9,161","1,165,982",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,        Moved in 2019 or later,"503,968","±11,370",25.60%,±0.5,"81,532","±3,980",30.10%,±1.4,"921,753","±13,759",32.70%,±0.5,"353,484","±9,579",29.90%,±0.8,"3,464,719","±25,792",25.80%,±0.2,"781,388","±13,594",33.80%,±0.6,"340,933","±10,610",23.90%,±0.7,"95,981","±4,859",24.30%,±1.2,"121,236","±4,745",37.90%,±1.4,"2,639,885","±26,363",30.80%,±0.3,"1,177,069","±17,563",29.40%,±0.4,"133,864","±4,871",27.30%,±0.9,"202,327","±6,994",29.20%,±1.0,"1,273,690","±17,781",25.50%,±0.3,"713,149","±12,337",26.60%,±0.4,"342,873","±7,928",26.40%,±0.6,"332,980","±7,925",28.70%,±0.6,"464,011","±10,661",26.00%,±0.6,"457,319","±11,882",25.60%,±0.6,"141,975","±5,827",23.90%,±0.9,"606,102","±12,231",25.70%,±0.5,"681,351","±13,895",24.70%,±0.5,"943,766","±12,177",23.30%,±0.3,"583,285","±9,576",25.60%,±0.4,"258,227","±9,958",22.90%,±0.9,"697,843","±11,587",28.30%,±0.5,"125,463","±5,197",27.90%,±1.1,"217,707","±6,063",27.70%,±0.7,"398,420","±9,073",33.40%,±0.7,"126,024","±5,209",23.00%,±0.9,"819,544","±15,464",23.40%,±0.4,"220,107","±7,841",26.40%,±0.9,"1,648,727","±19,421",21.50%,±0.2,"1,195,935","±17,285",28.60%,±0.4,"98,061","±4,143",30.40%,±1.2,"1,233,253","±16,956",25.50%,±0.3,"471,077","±8,594",30.40%,±0.5,"506,236","±9,097",29.70%,±0.5,"1,166,280","±17,305",22.30%,±0.3,"112,721","±5,499",25.60%,±1.2,"574,047","±13,284",28.00%,±0.6,"100,773","±4,590",28.20%,±1.2,"789,512","±13,321",28.50%,±0.5,"3,543,333","±34,024",32.80%,±0.3,"350,707","±8,609",31.80%,±0.7,"63,617","±3,279",23.50%,±1.1,"941,840","±11,811",28.30%,±0.4,"929,699","±14,008",30.80%,±0.4,"146,472","±5,842",20.30%,±0.8,"613,794","±10,461",25.10%,±0.4,"76,673","±3,163",31.60%,±1.3,"164,122","±5,611",14.10%,±0.5
YEAR HOUSEHOLDER MOVED INTO UNIT,        Moved in 2015 to 2018,"425,504","±11,036",21.60%,±0.5,"56,909","±3,019",21.00%,±1.1,"705,367","±14,381",25.00%,±0.5,"257,707","±9,678",21.80%,±0.8,"2,929,752","±31,132",21.80%,±0.2,"530,269","±12,867",22.90%,±0.5,"298,608","±7,866",20.90%,±0.5,"87,995","±4,825",22.20%,±1.1,"67,818","±4,080",21.20%,±1.2,"2,102,720","±23,071",24.50%,±0.3,"927,678","±17,595",23.20%,±0.4,"88,418","±4,987",18.00%,±1.0,"172,944","±6,279",24.90%,±0.9,"1,069,004","±15,416",21.40%,±0.3,"598,807","±13,623",22.30%,±0.5,"271,972","±7,069",20.90%,±0.5,"251,945","±7,227",21.70%,±0.6,"383,367","±10,810",21.50%,±0.6,"371,149","±10,197",20.80%,±0.6,"125,666","±5,459",21.20%,±0.9,"516,042","±11,373",21.90%,±0.5,"591,893","±13,139",21.50%,±0.5,"866,241","±13,692",21.40%,±0.3,"503,960","±9,700",22.10%,±0.4,"236,885","±9,363",21.00%,±0.8,"551,654","±12,694",22.30%,±0.5,"98,216","±5,404",21.90%,±1.2,"169,156","±5,822",21.50%,±0.7,"326,060","±9,121",27.40%,±0.8,"121,527","±5,669",22.20%,±1.0,"754,491","±15,169",21.60%,±0.4,"173,721","±7,626",20.80%,±0.9,"1,504,136","±19,538",19.70%,±0.2,"950,310","±16,955",22.70%,±0.4,"68,724","±4,337",21.30%,±1.3,"1,022,997","±15,466",21.20%,±0.3,"341,116","±7,956",22.00%,±0.5,"412,215","±10,534",24.20%,±0.6,"1,027,677","±17,171",19.70%,±0.3,"98,656","±5,848",22.40%,±1.4,"459,503","±12,282",22.40%,±0.6,"77,009","±4,463",21.60%,±1.3,"627,699","±12,758",22.70%,±0.5,"2,512,403","±34,546",23.30%,±0.3,"264,697","±9,612",24.00%,±0.9,"54,637","±3,192",20.20%,±1.2,"725,846","±14,833",21.80%,±0.4,"735,506","±12,920",24.30%,±0.4,"131,850","±6,089",18.30%,±0.8,"534,932","±10,190",21.80%,±0.4,"50,676","±3,717",20.90%,±1.5,"168,285","±6,441",14.40%,±0.5
